Date,Status,Time,Location,Notes,Attendees,Possible Attendees,Afterwards Comments
07/05/2025,Undecided,5 PM,Usual Location,,,,
07/12/2025,Undecided,5 PM,Usual Location,,,,
07/19/2025,Undecided,5 PM,Usual Location,,,,
07/26/2025,Undecided,5 PM,Usual Location,,,,
08/02/2025,Undecided,5 PM,Usual Location,,,,
08/09/2025,Undecided,5 PM,Usual Location,,,,
08/16/2025,Undecided,5 PM,Usual Location,,,,
08/23/2025,Undecided,5 PM,Usual Location,,,,
08/30/2025,Undecided,5 PM,Usual Location,,,,
09/06/2025,Undecided,5 PM,Usual Location,,,,
09/13/2025,Undecided,5 PM,Usual Location,,,,
09/20/2025,Undecided,5 PM,Usual Location,,,,
09/27/2025,Undecided,5 PM,Usual Location,,,,
10/04/2025,Undecided,5 PM,Usual Location,,,,
10/11/2025,Undecided,5 PM,Usual Location,,,,
10/18/2025,Undecided,5 PM,Usual Location,,,,
10/25/2025,Undecided,5 PM,Usual Location,,,,
11/01/2025,Undecided,5 PM,Usual Location,,,,
11/08/2025,Undecided,5 PM,Usual Location,,,,
11/15/2025,Undecided,5 PM,Usual Location,,,,
11/22/2025,Undecided,5 PM,Usual Location,,,,
11/29/2025,Undecided,5 PM,Usual Location,,,,
12/06/2025,Undecided,5 PM,Usual Location,,,,
12/13/2025,Scheduled,5:00 PM,Usual Location,last game night of the year!,,,
12/20/2025,Undecided,5 PM,Usual Location,,,,
12/27/2025,Undecided,5 PM,Usual Location,,,,
